model,split,params,accuracy,macro_f1,weighted_f1,precision_macro,recall_macro,train_time,memory_delta_mb,inference_time,adjusted_rand_index,silhouette_score
KNN,test,"n_neighbors=15, weights=distance, metric=cosine, algorithm=brute",0.8683333333333333,0.8658527082824797,0.8658527082824797,0.8694877077230524,0.8683333333333335,0.009285749983973801,1.5,3.600493917008862,,
LinearSVC,test,"C=10.0, loss=squared_hinge, dual=False, class_weight=None, tol=0.0001, max_iter=5000, use_scaler=False",0.8655,0.8648246237216457,0.8648246237216457,0.8647477441635741,0.8655,39.696735957986675,564.59375,0.010147749999305233,,
XGBoost,test,"n_estimators=300, max_depth=5, learning_rate=0.1, subsample=0.8, colsample_bytree=0.8, reg_lambda=3.0, reg_alpha=0.0, min_child_weight=1",0.86075,0.8610085832524105,0.8610085832524105,0.8615479640846301,0.8607499999999999,95.4165662919986,344.359375,0.05289991601603106,,
LogisticRegression,test,"C=30.0, solver=lbfgs, class_weight=balanced, max_iter=2000, tol=0.0001, use_scaler=False",0.86,0.8599667356133704,0.8599667356133704,0.8601178100643261,0.86,1.538105166022433,1.84375,0.002104416984366253,,
RandomForest,test,"n_estimators=200, max_depth=30, max_features=sqrt, min_samples_leaf=1, min_samples_split=2, class_weight=None",0.8451666666666666,0.8433249524942743,0.8433249524942744,0.8437936397703739,0.8451666666666667,21.42231449999963,205.09375,0.07717616599984467,,
GaussianNB,test,"var_smoothing=0.01, use_scaler=False",0.812,0.8120554768195242,0.8120554768195243,0.8137665467869063,0.8119999999999999,0.056949000019812956,141.171875,0.0863289580156561,,
KMeans,test,"n_clusters=15, init=k-means++, n_init=50",0.6775,0.6678863949909567,0.6678863949909567,0.6785788012555592,0.6775000000000001,27.50523283300572,10.734375,0.009659125003963709,0.5350098125154091,0.057256653904914856
